Gene1	Gene2	Protein1	Protein2
POLR1E	POLR1E	DNA-directed RNA polymerase I subunit RPA49 (RNA polymerase I subunit A49) (DNA-directed RNA polymerase I subunit E) (RNA polymerase I-associated factor 1) (RNA polymerase I-associated factor 53)	DNA-directed RNA polymerase I subunit RPA49 (RNA polymerase I subunit A49) (DNA-directed RNA polymerase I subunit E) (RNA polymerase I-associated factor 1) (RNA polymerase I-associated factor 53)
POLR2B	POLR2C	DNA-directed RNA polymerase II subunit RPB2 (EC 2.7.7.6) (3'-5' exoribonuclease) (EC 3.1.13.-) (DNA-directed RNA polymerase II 140 kDa polypeptide) (DNA-directed RNA polymerase II subunit B) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2) (RNA-directed RNA polymerase II subunit RPB2) (EC 2.7.7.48)	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31)
POLR2M	ZNF414	DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5 (DNA-directed RNA polymerase II subunit M, isoforms 4/5)	Zinc finger protein 414
POM121	POM121C	Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa)	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)
POMGNT1	POMGNT2	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (POMGnT1) (EC 2.4.1.-) (UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2) (GnT I.2)	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGnT2) (EC 2.4.1.312) (Extracellular O-linked N-acetylglucosamine transferase-like) (Glycosyltransferase-like domain-containing protein 2)
POMP	UQCRQ	Proteasome maturation protein (Proteassemblin) (Protein UMP1 homolog) (hUMP1) (Voltage-gated K channel beta subunit 4.1)	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)
POMT1	POMT2	Protein O-mannosyl-transferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1)	Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2)
POP1	POP1	Ribonucleases P/MRP protein subunit POP1 (hPOP1)	Ribonucleases P/MRP protein subunit POP1 (hPOP1)
POP4	POP4	Ribonuclease P protein subunit p29 (hPOP4)	Ribonuclease P protein subunit p29 (hPOP4)
POTEE	POTEF	POTE ankyrin domain family member E (ANKRD26-like family C member 1A) (Prostate, ovary, testis-expressed protein on chromosome 2) (POTE-2)	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)
POU2F2	STK17B	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)
POU3F3	SIX4	POU domain, class 3, transcription factor 3 (Brain-specific homeobox/POU domain protein 1) (Brain-1) (Brn-1) (Octamer-binding protein 8) (Oct-8) (Octamer-binding transcription factor 8) (OTF-8)	Homeobox protein SIX4 (Sine oculis homeobox homolog 4)
POU5F2	TAS2R14	POU domain, class 5, transcription factor 2 (Sperm 1 POU domain transcription factor) (SPRM-1)	Taste receptor type 2 member 14 (T2R14) (Taste receptor family B member 1) (TRB1)
PPFIA2	PTPRN2	Liprin-alpha-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-2) (PTPRF-interacting protein alpha-2)	Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60]
PPFIA3	SYN1	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)	Synapsin-1 (Brain protein 4.1) (Synapsin I)
PPIL6	TEKT1	Probable inactive peptidyl-prolyl cis-trans isomerase-like 6 (PPIase) (Cyclophilin-like protein PPIL6) (Rotamase PPIL6)	Tektin-1
PPM1E	PPM1E	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)
PPOX	PPOX	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)
PPP1R3C	RENBP	Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)	N-acylglucosamine 2-epimerase (AGE) (EC 5.1.3.8) (GlcNAc 2-epimerase) (N-acetyl-D-glucosamine 2-epimerase) (Renin-binding protein) (RnBP)
PPP3CA	PPP3R1	Protein phosphatase 3 catalytic subunit alpha (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform)	Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1)
PPRC1	ZNF592	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC)	Zinc finger protein 592
PRAMEF7	PRR23B	PRAME family member 7	Proline-rich protein 23B
PRB1	ZG16B	Basic salivary proline-rich protein 1 (Salivary proline-rich protein) [Cleaved into: Proline-rich peptide II-2; Basic peptide IB-6; Peptide P-H]	Pancreatic adenocarcinoma up-regulated factor (Zymogen granule protein 16 homolog B)
PREP	PREP	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)
PRG2	PRG2	Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP) (Pregnancy-associated major basic protein)]	Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP) (Pregnancy-associated major basic protein)]
PRG3	PRG3	Proteoglycan 3 (Eosinophil major basic protein homolog) (Prepro-major basic protein homolog) (Prepro-MBPH)	Proteoglycan 3 (Eosinophil major basic protein homolog) (Prepro-major basic protein homolog) (Prepro-MBPH)
PRG4	PRG4	Proteoglycan 4 (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Cleaved into: Proteoglycan 4 C-terminal part]	Proteoglycan 4 (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Cleaved into: Proteoglycan 4 C-terminal part]
PRKAB1	PRKAG1	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)
PRKACA	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)
PRL	PRL	Prolactin (PRL)	Prolactin (PRL)
PRMT9	PRMT9	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)
PRODH2	PRODH2	Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Kidney and liver proline oxidase 1) (HsPOX1) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2)	Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Kidney and liver proline oxidase 1) (HsPOX1) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2)
PROM1	WNT5B	Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133)	Protein Wnt-5b
PROSER1	ZBTB2	Proline and serine-rich protein 1	Zinc finger and BTB domain-containing protein 2
PROX2	TCP11	Prospero homeobox protein 2 (Homeobox prospero-like protein PROX2) (PROX-2)	T-complex protein 11 homolog
PRPF3	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)
PRPF8	SNRNP200	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)
PRPH	PRPH	Peripherin (Neurofilament 4)	Peripherin (Neurofilament 4)
PRR22	TMEM262	Proline-rich protein 22	Cation channel sperm-associated auxiliary subunit TMEM262 (Cation channel sperm-associated auxiliary subunit eta) (Transmembrane protein 262)
PRR3	PRR3	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)
PRR4	PRR4	Proline-rich protein 4 (Lacrimal proline-rich protein) (Nasopharyngeal carcinoma-associated proline-rich protein 4)	Proline-rich protein 4 (Lacrimal proline-rich protein) (Nasopharyngeal carcinoma-associated proline-rich protein 4)
PRRC1	TMEM214	Protein PRRC1 (Proline-rich and coiled-coil-containing protein 1)	Transmembrane protein 214
PRRG3	TMPRSS13	Transmembrane gamma-carboxyglutamic acid protein 3 (Proline-rich gamma-carboxyglutamic acid protein 3) (Proline-rich Gla protein 3)	Transmembrane protease serine 13 (EC 3.4.21.-) (Membrane-type mosaic serine protease) (Mosaic serine protease)
PSAP	PSAP	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]
PSD	RFNG	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	Beta-1,3-N-acetylglucosaminyltransferase radical fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)
PSD2	SLC25A18	PH and SEC7 domain-containing protein 2 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 C) (Exchange factor for ARF6 C) (Pleckstrin homology and SEC7 domain-containing protein 2)	Mitochondrial glutamate carrier 2 (GC-2) (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18)
PSEN1	RNF13	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	E3 ubiquitin-protein ligase RNF13 (EC 2.3.2.27) (RING finger protein 13)
PSG11	PSG11	Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)	Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)
PSG2	PSG3	Pregnancy-specific beta-1-glycoprotein 2 (PS-beta-G-2) (PSBG-2) (Pregnancy-specific glycoprotein 2) (Pregnancy-specific beta-1 glycoprotein E) (PS-beta-E)	Pregnancy-specific beta-1-glycoprotein 3 (PS-beta-G-3) (PSBG-3) (Pregnancy-specific glycoprotein 3) (Carcinoembryonic antigen SG5)
PSG4	PSG5	Pregnancy-specific beta-1-glycoprotein 4 (PS-beta-G-4) (PSBG-4) (Pregnancy-specific glycoprotein 4) (Pregnancy-specific beta-1-glycoprotein 9) (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9)	Pregnancy-specific beta-1-glycoprotein 5 (PS-beta-G-5) (PSBG-5) (Pregnancy-specific glycoprotein 5) (Fetal liver non-specific cross-reactive antigen 3) (FL-NCA-3)
PSG9	PSG9	Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7)	Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7)
PSMA8	SMC1B	Proteasome subunit alpha-type 8 (Proteasome alpha 4 subunit) (Alpha4s) (Proteasome subunit alpha-type 7-like)	Structural maintenance of chromosomes protein 1B (SMC protein 1B) (SMC-1-beta) (SMC-1B)
PSMB1	PSMC3	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain) (Proteasome subunit beta-6) (beta-6)	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)
PTAFR	TNFRSF1A	Platelet-activating factor receptor (PAF-R) (PAFr)	Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]
PTGDR2	ZP1	Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294)	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]
PTGER2	PTGER2	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)
PTH2	PTH2	Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2)	Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2)
PTP4A2	UBE2R2	Protein tyrosine phosphatase type IVA 2 (EC 3.1.3.48) (HU-PP-1) (OV-1) (PTP(CAAXII)) (Protein-tyrosine phosphatase 4a2) (Protein-tyrosine phosphatase of regenerating liver 2) (PRL-2)	Ubiquitin-conjugating enzyme E2 R2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R2) (Ubiquitin carrier protein R2) (Ubiquitin-conjugating enzyme E2-CDC34B) (Ubiquitin-protein ligase R2)
PTPN13	TMTC1	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1)	Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 1) (Transmembrane and tetratricopeptide repeat-containing 1)
PTPRO	PTPRO	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)
PTPRQ	PTPRQ	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.67) (EC 3.1.3.86) (EC 3.1.3.95) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q)	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.67) (EC 3.1.3.86) (EC 3.1.3.95) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q)
PTPRS	SYN3	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	Synapsin-3 (Synapsin III)
PTTG1	SKA2	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)	Spindle and kinetochore-associated protein 2 (Protein FAM33A)
PTX3	PTX3	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)
PTX4	TMEM44	Pentraxin-4	Transmembrane protein 44
PWP2	TBL3	Periodic tryptophan protein 2 homolog	Transducin beta-like protein 3 (WD repeat-containing protein SAZD)
PYROXD1	SEPSECS	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 (EC 1.8.1.-)	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Liver-pancreas antigen) (LP) (SLA-p35) (SLA/LP autoantigen) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (Soluble liver antigen) (SLA) (UGA suppressor tRNA-associated protein) (tRNA(Ser/Sec)-associated antigenic protein)
R3HDM1	R3HDM2	R3H domain-containing protein 1	R3H domain-containing protein 2
RAB11FIP2	TMEM170B	Rab11 family-interacting protein 2 (Rab11-FIP2) (NRip11)	Transmembrane protein 170B
RAB11FIP3	SGSM1	Rab11 family-interacting protein 3 (FIP3) (FIP3-Rab11) (Rab11-FIP3) (Arfophilin-1) (EF hands-containing Rab-interacting protein) (Eferin) (MU-MB-17.148)	Small G protein signaling modulator 1 (RUN and TBC1 domain-containing protein 2)
RAB21	TM9SF3	Ras-related protein Rab-21 (EC 3.6.5.2)	Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein)
RAB3D	TMEM106A	Ras-related protein Rab-3D (EC 3.6.5.2)	Transmembrane protein 106A
RAB41	RAB41	Ras-related protein Rab-41 (EC 3.6.5.2)	Ras-related protein Rab-41 (EC 3.6.5.2)
RAB7A	UBE2N	Ras-related protein Rab-7a (EC 3.6.5.2)	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)
RABL2A	RABL2B	Rab-like protein 2A	Rab-like protein 2B
RAC1	SSU72	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16)
RAC3	RAC3	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)
RAD54L	RAD54L	DNA repair and recombination protein RAD54-like (EC 3.6.4.12) (RAD54 homolog) (hHR54) (hRAD54)	DNA repair and recombination protein RAD54-like (EC 3.6.4.12) (RAD54 homolog) (hHR54) (hRAD54)
RAET1G	ULBP2	UL-16 binding protein 5 (Retinoic acid early transcript 1G protein)	UL16-binding protein 2 (ALCAN-alpha) (NKG2D ligand 2) (N2DL-2) (NKG2DL2) (Retinoic acid early transcript 1H)
RAG1	RAG2	V(D)J recombination-activating protein 1 (RAG-1) (RING finger protein 74) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]	V(D)J recombination-activating protein 2 (RAG-2)
RALB	SNAP23	Ras-related protein Ral-B (EC 3.6.5.2)	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)
RALGDS	SREBF1	Ral guanine nucleotide dissociation stimulator (RalGDS) (Ral guanine nucleotide exchange factor) (RalGEF)	Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1 (Transcription factor SREBF1)]
RAMP1	SRPX	Receptor activity-modifying protein 1 (Calcitonin-receptor-like receptor activity-modifying protein 1) (CRLR activity-modifying protein 1)	Sushi repeat-containing protein SRPX
RANBP9	RANBP9	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)
RANGAP1	REEP4	Ran GTPase-activating protein 1 (RanGAP1)	Receptor expression-enhancing protein 4
RAP2C	RNF41	Ras-related protein Rap-2c (EC 3.6.5.2)	E3 ubiquitin-protein ligase NRDP1 (EC 2.3.2.27) (RING finger protein 41) (RING-type E3 ubiquitin transferase NRDP1)
RARA	ZNF703	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	Zinc finger protein 703 (Zinc finger elbow-related proline domain protein 1)
RARB	ZMAT4	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	Zinc finger matrin-type protein 4
RASSF4	RASSF4	Ras association domain-containing protein 4	Ras association domain-containing protein 4
RASSF6	SLITRK6	Ras association domain-containing protein 6	SLIT and NTRK-like protein 6
RASSF8	SLC35F4	Ras association domain-containing protein 8 (Carcinoma-associated protein HOJ-1)	Solute carrier family 35 member F4
RAX	RAX	Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)	Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)
RBCK1	RNF31	RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3)	E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.31) (HOIL-1-interacting protein) (HOIP) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31) (Zinc in-between-RING-finger ubiquitin-associated domain protein)
RBM42	USP39	RNA-binding protein 42 (RNA-binding motif protein 42)	Ubiquitin carboxyl-terminal hydrolase 39 (EC 3.4.19.12) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein)
RBM47	RREB1	RNA-binding protein 47 (RNA-binding motif protein 47)	Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)
RBMY1B	RBMY1E	RNA-binding motif protein, Y chromosome, family 1 member B	RNA-binding motif protein, Y chromosome, family 1 member E
RBP1	RBP1	Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I)	Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I)
RBP2	RBP2	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)
RBP5	RBP5	Retinol-binding protein 5 (Cellular retinol-binding protein III) (CRBP-III) (HRBPiso)	Retinol-binding protein 5 (Cellular retinol-binding protein III) (CRBP-III) (HRBPiso)
REEP1	ZC2HC1A	Receptor expression-enhancing protein 1 (Spastic paraplegia 31 protein)	Zinc finger C2HC domain-containing protein 1A
REG3A	REG3G	Regenerating islet-derived protein 3-alpha (REG-3-alpha) (Hepatointestinal pancreatic protein) (HIP/PAP) (Human proislet peptide) (HIP) (Pancreatitis-associated protein 1) (Regenerating islet-derived protein III-alpha) (Reg III-alpha) [Cleaved into: Regenerating islet-derived protein 3-alpha 16.5 kDa form; Regenerating islet-derived protein 3-alpha 15 kDa form]	Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 1B) (PAP-1B) (Pancreatitis-associated protein IB) (PAP IB) (Regenerating islet-derived protein III-gamma) (REG III) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form]
REN	REN	Renin (EC 3.4.23.15) (Angiotensinogenase)	Renin (EC 3.4.23.15) (Angiotensinogenase)
REP15	VSIG1	Rab15 effector protein	V-set and immunoglobulin domain-containing protein 1 (Cell surface A33 antigen) (Glycoprotein A34)
REST	VEZF1	RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor)	Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)
RFC1	RFC3	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38)
