Gene1	Gene2	Protein1	Protein2
PCGF2	RNF2	Polycomb group RING finger protein 2 (DNA-binding protein Mel-18) (RING finger protein 110) (Zinc finger protein 144)	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2)
PCGF5	RYBP	Polycomb group RING finger protein 5 (RING finger protein 159)	RING1 and YY1-binding protein (Apoptin-associating protein 1) (APAP-1) (Death effector domain-associated factor) (DED-associated factor) (YY1 and E4TF1-associated factor 1)
PCP2	PCP2	Purkinje cell protein 2 homolog	Purkinje cell protein 2 homolog
PDCD10	USP14	Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15)	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)
PDCD5	TOMM5	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	Mitochondrial import receptor subunit TOM5 homolog
PDHA1	PDHB	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
PDK1	PDK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)
PDP1	PDP1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)
PDX1	PDX1	Pancreas/duodenum homeobox protein 1 (PDX-1) (Glucose-sensitive factor) (GSF) (Insulin promoter factor 1) (IPF-1) (Insulin upstream factor 1) (IUF-1) (Islet/duodenum homeobox-1) (IDX-1) (Somatostatin-transactivating factor 1) (STF-1)	Pancreas/duodenum homeobox protein 1 (PDX-1) (Glucose-sensitive factor) (GSF) (Insulin promoter factor 1) (IPF-1) (Insulin upstream factor 1) (IUF-1) (Islet/duodenum homeobox-1) (IDX-1) (Somatostatin-transactivating factor 1) (STF-1)
PDZD7	USH2A	PDZ domain-containing protein 7	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)
PDZK1IP1	SAA1	PDZK1-interacting protein 1 (17 kDa membrane-associated protein) (Protein DD96)	Serum amyloid A-1 protein (SAA) [Cleaved into: Amyloid protein A (Amyloid fibril protein AA); Serum amyloid protein A(2-104); Serum amyloid protein A(3-104); Serum amyloid protein A(2-103); Serum amyloid protein A(2-102); Serum amyloid protein A(4-101)]
PEX1	PEX6	Peroxisomal ATPase PEX1 (EC 3.6.4.-) (Peroxin-1) (Peroxisome biogenesis disorder protein 1) (Peroxisome biogenesis factor 1)	Peroxisomal ATPase PEX6 (EC 3.6.4.-) (Peroxin-6) (Peroxisomal biogenesis factor 6) (Peroxisomal-type ATPase 1) (Peroxisome assembly factor 2) (PAF-2)
PEX13	PEX14	Peroxisomal membrane protein PEX13 (Peroxin-13)	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)
PF4	TMEM40	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form (Endothelial cell growth inhibitor)]	Transmembrane protein 40
PFDN1	VBP1	Prefoldin subunit 1	Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)
PFDN2	PFDN6	Prefoldin subunit 2	Prefoldin subunit 6 (Protein Ke2)
PGK1	PKM	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (EC 2.7.11.1) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (Tyrosine-protein kinase PKM2) (EC 2.7.10.2) (p58)
PHC1	RING1	Polyhomeotic-like protein 1 (hPH1) (Early development regulatory protein 1)	E3 ubiquitin-protein ligase RING1 (EC 2.3.2.27) (Polycomb complex protein RING1) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1) (Really interesting new gene 1 protein)
PHC2	SLC25A37	Polyhomeotic-like protein 2 (hPH2) (Early development regulatory protein 2)	Mitoferrin-1 (Mitochondrial iron transporter 1) (Mitochondrial solute carrier protein) (Solute carrier family 25 member 37)
PHKG2	SMG5	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)	Nonsense-mediated mRNA decay factor SMG5 (EST1-like protein B) (LPTS-RP1) (LPTS-interacting protein) (SMG-5 homolog) (hSMG-5)
PI4K2B	ZNF280C	Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta) (PI4KII-BETA)	Zinc finger protein 280C (Suppressor of hairy wing homolog 3) (Zinc finger protein 633)
PIDD1	SLC7A3	PIDD1 alternative open reading frame protein (altPIDD1)	Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3)
PIGF	PIGG	GPI ethanolamine phosphate transferase, stabilizing subunit (GPI ethanolamine phosphate transferase 2, stabilizing subunit) (GPI ethanolamine phosphate transferase 3, stabilizing subunit) (GPI11 homolog) (Phosphatidylinositol-glycan biosynthesis class F protein) (PIG-F)	GPI ethanolamine phosphate transferase 2, catalytic subunit (EC 2.-.-.-) (GPI7 homolog) (hGPI7) (Phosphatidylinositol-glycan biosynthesis class G protein) (PIG-G)
PIGK	PIGU	GPI-anchor transamidase (EC 2.6.1.-) (GPI-anchor transamidase component PIGK, catalytic subunit) (GPI8 homolog) (hGPI8) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K)	GPI-anchor transamidase component PIGU (Cell division cycle protein 91-like 1) (Protein CDC91-like 1) (GPI transamidase component PIG-U) (Phosphatidylinositol glycan anchor biosynthesis class U protein)
PIGN	RNF144A	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (GPI-ethanolamine transferase I) (GPI-ETI) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	E3 ubiquitin-protein ligase RNF144A (EC 2.3.2.31) (RING finger protein 144A) (UbcM4-interacting protein 4) (Ubiquitin-conjugating enzyme 7-interacting protein 4)
PKD1	PKD1	Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein)	Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein)
PLD1	RIN2	Phospholipase D1 (PLD 1) (hPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	Ras and Rab interactor 2 (Ras association domain family 4) (Ras inhibitor JC265) (Ras interaction/interference protein 2)
PLEKHA4	SH2D3A	Pleckstrin homology domain-containing family A member 4 (PH domain-containing family A member 4) (Phosphoinositol 3-phosphate-binding protein 1) (PEPP-1)	SH2 domain-containing protein 3A (Novel SH2-containing protein 1)
PLEKHB2	PRKAR1A	Pleckstrin homology domain-containing family B member 2 (PH domain-containing family B member 2) (Evectin-2)	cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1)
PLEKHH2	SCN7A	Pleckstrin homology domain-containing family H member 2	Sodium channel protein type 7 subunit alpha (Atypical sodium channel Nav2.1) (Nax channel) (Sodium channel protein type VII subunit alpha)
PLEKHH3	SREBF1	Pleckstrin homology domain-containing family H member 3 (PH domain-containing family H member 3)	Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1 (Transcription factor SREBF1)]
PLIN2	RAB20	Perilipin-2 (Adipophilin) (Adipose differentiation-related protein) (ADRP)	Ras-related protein Rab-20 (EC 3.6.5.2)
PLTP	TSPAN4	Phospholipid transfer protein (Lipid transfer protein II)	Tetraspanin-4 (Tspan-4) (Novel antigen 2) (NAG-2) (Transmembrane 4 superfamily member 7)
PLXNB2	PTTG1IP	Plexin-B2 (MM1)	Pituitary tumor-transforming gene 1 protein-interacting protein (Pituitary tumor-transforming gene protein-binding factor) (PBF) (PTTG-binding factor)
PMEL	TYRP1	Melanocyte protein PMEL (ME20-M) (ME20M) (Melanocyte protein Pmel 17) (Melanocytes lineage-specific antigen GP100) (Melanoma-associated ME20 antigen) (P1) (P100) (Premelanosome protein) (Silver locus protein homolog) [Cleaved into: M-alpha (95 kDa melanocyte-specific secreted glycoprotein) (P26) (Secreted melanoma-associated ME20 antigen) (ME20-S) (ME20S); M-beta]	5,6-dihydroxyindole-2-carboxylic acid oxidase (DHICA oxidase) (EC 1.14.18.-) (Catalase B) (Glycoprotein 75) (Melanoma antigen gp75) (Tyrosinase-related protein 1) (TRP) (TRP-1) (TRP1)
PMS2	ZNF626	Mismatch repair endonuclease PMS2 (EC 3.1.-.-) (DNA mismatch repair protein PMS2) (PMS1 protein homolog 2)	Zinc finger protein 626
PNMT	PNMT	Phenylethanolamine N-methyltransferase (PNMTase) (EC 2.1.1.28) (Noradrenaline N-methyltransferase)	Phenylethanolamine N-methyltransferase (PNMTase) (EC 2.1.1.28) (Noradrenaline N-methyltransferase)
POLA1	POLA2	DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180)	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)
POLD2	POLD3	DNA polymerase delta subunit 2 (DNA polymerase delta subunit p50)	DNA polymerase delta subunit 3 (DNA polymerase delta subunit C) (DNA polymerase delta subunit p66) (DNA polymerase delta subunit p68)
POLE	POLE2	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)
POLG	POLG2	DNA polymerase subunit gamma-1 (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (5'-deoxyribose-phosphate lyase) (EC 4.2.99.-) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)	DNA polymerase subunit gamma-2 (DNA polymerase gamma accessory 55 kDa subunit) (p55) (Mitochondrial DNA polymerase accessory subunit) (MtPolB) (PolG-beta)
POLH	POLH	DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)	DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)
POLR1C	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	Protein POLR1D, isoform 2
POLR2C	POLR2G	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31)	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)
POLRMT	TFB2M	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	Dimethyladenosine transferase 2, mitochondrial (EC 2.1.1.-) (Hepatitis C virus NS5A-transactivated protein 5) (HCV NS5A-transactivated protein 5) (Mitochondrial 12S rRNA dimethylase 2) (Mitochondrial transcription factor B2) (h-mtTFB) (h-mtTFB2) (hTFB2M) (mtTFB2) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 2)
POMT1	POMT2	Protein O-mannosyl-transferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1)	Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2)
POP1	POP5	Ribonucleases P/MRP protein subunit POP1 (hPOP1)	Ribonuclease P/MRP protein subunit POP5 (hPop5)
POU3F3	SIX4	POU domain, class 3, transcription factor 3 (Brain-specific homeobox/POU domain protein 1) (Brain-1) (Brn-1) (Octamer-binding protein 8) (Oct-8) (Octamer-binding transcription factor 8) (OTF-8)	Homeobox protein SIX4 (Sine oculis homeobox homolog 4)
POU4F3	ZNF491	POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brain-3C) (Brn-3C)	Zinc finger protein 491
PPARA	PPP2R1B	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)
PPBP	TPSAB1	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]	Tryptase alpha/beta-1 (Tryptase-1) (EC 3.4.21.59) (Tryptase I) (Tryptase alpha-1)
PPFIA3	SYN1	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)	Synapsin-1 (Brain protein 4.1) (Synapsin I)
PPIL6	TEKT1	Probable inactive peptidyl-prolyl cis-trans isomerase-like 6 (PPIase) (Cyclophilin-like protein PPIL6) (Rotamase PPIL6)	Tektin-1
PPM1E	PPM1E	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)
PPP1CA	SHOC2	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog)
PPP1R16A	TMC4	Protein phosphatase 1 regulatory subunit 16A (Myosin phosphatase-targeting subunit 3)	Voltage-gated chloride channel TMC4 (Transmembrane channel-like protein 4)
PPP1R3E	ZFP14	Protein phosphatase 1 regulatory subunit 3E	Zinc finger protein 14 homolog (Zfp-14) (Zinc finger protein 531)
PPP1R9B	RASA4	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	Ras GTPase-activating protein 4 (Calcium-promoted Ras inactivator) (Ras p21 protein activator 4) (RasGAP-activating-like protein 2)
PPP3CA	PPP3R1	Protein phosphatase 3 catalytic subunit alpha (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform)	Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1)
PPP4C	PPP4R2	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16) (Protein phosphatase X) (PP-X)	Serine/threonine-protein phosphatase 4 regulatory subunit 2
PRAMEF7	PRR23B	PRAME family member 7	Proline-rich protein 23B
PREP	PREP	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)
PRG2	PRG2	Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP) (Pregnancy-associated major basic protein)]	Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP) (Pregnancy-associated major basic protein)]
PRG3	PRG3	Proteoglycan 3 (Eosinophil major basic protein homolog) (Prepro-major basic protein homolog) (Prepro-MBPH)	Proteoglycan 3 (Eosinophil major basic protein homolog) (Prepro-major basic protein homolog) (Prepro-MBPH)
PRG4	PRG4	Proteoglycan 4 (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Cleaved into: Proteoglycan 4 C-terminal part]	Proteoglycan 4 (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Cleaved into: Proteoglycan 4 C-terminal part]
PRKAB1	PRKAG1	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)
PRKACA	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)
PRKRIP1	SLU7	PRKR-interacting protein 1	Pre-mRNA-splicing factor SLU7 (hSlu7)
PRL	PRL	Prolactin (PRL)	Prolactin (PRL)
PRMT5	WDR77	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	Methylosome protein WDR77 (Androgen receptor cofactor p44) (Methylosome protein 50) (MEP-50) (WD repeat-containing protein 77) (p44/Mep50)
PRMT9	PRMT9	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)
PRODH2	PRODH2	Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Kidney and liver proline oxidase 1) (HsPOX1) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2)	Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Kidney and liver proline oxidase 1) (HsPOX1) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2)
PROM1	WNT5B	Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133)	Protein Wnt-5b
PRPF3	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)
PRPH	PRPH	Peripherin (Neurofilament 4)	Peripherin (Neurofilament 4)
PRR3	PRR3	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)
PRR4	PRR4	Proline-rich protein 4 (Lacrimal proline-rich protein) (Nasopharyngeal carcinoma-associated proline-rich protein 4)	Proline-rich protein 4 (Lacrimal proline-rich protein) (Nasopharyngeal carcinoma-associated proline-rich protein 4)
PSG11	PSG11	Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)	Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)
PSG2	PSG3	Pregnancy-specific beta-1-glycoprotein 2 (PS-beta-G-2) (PSBG-2) (Pregnancy-specific glycoprotein 2) (Pregnancy-specific beta-1 glycoprotein E) (PS-beta-E)	Pregnancy-specific beta-1-glycoprotein 3 (PS-beta-G-3) (PSBG-3) (Pregnancy-specific glycoprotein 3) (Carcinoembryonic antigen SG5)
PSG9	PSG9	Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7)	Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7)
PSKH1	SEMA4C	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)	Semaphorin-4C
PSMB10	PSMB9	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)
PSME1	PSME2	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)
PTAFR	SLA	Platelet-activating factor receptor (PAF-R) (PAFr)	Src-like-adapter (Src-like-adapter protein 1) (SLAP-1) (hSLAP)
PTGER2	PTGER2	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)
PTH2	PTH2	Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2)	Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2)
PTPN13	TMTC1	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1)	Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 1) (Transmembrane and tetratricopeptide repeat-containing 1)
PTPRE	ZEB2	Receptor-type tyrosine-protein phosphatase epsilon (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon) (EC 3.1.3.48)	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)
PTPRO	PTPRO	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)
PTPRQ	PTPRQ	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.67) (EC 3.1.3.86) (EC 3.1.3.95) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q)	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.67) (EC 3.1.3.86) (EC 3.1.3.95) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q)
PTPRS	SYN3	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	Synapsin-3 (Synapsin III)
PTX3	PTX3	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)
PURB	TRIM56	Transcriptional regulator protein Pur-beta (Purine-rich element-binding protein B)	E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING finger protein 109) (Tripartite motif-containing protein 56)
QSER1	STX6	Glutamine and serine-rich protein 1	Syntaxin-6
RAB21	TM9SF3	Ras-related protein Rab-21 (EC 3.6.5.2)	Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein)
RAB41	RAB41	Ras-related protein Rab-41 (EC 3.6.5.2)	Ras-related protein Rab-41 (EC 3.6.5.2)
RAB42	SLC6A8	Ras-related protein Rab-42 (EC 3.6.5.2)	Sodium- and chloride-dependent creatine transporter 1 (CT1) (Creatine transporter 1) (Solute carrier family 6 member 8)
RAB4B	TEN1	Ras-related protein Rab-4B (EC 3.6.5.2)	CST complex subunit TEN1 (Protein telomeric pathways with STN1 homolog) (Telomere length regulation protein TEN1 homolog)
RAC3	RAC3	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)
RAD23B	XPC	UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125)
RAD54L	RAD54L	DNA repair and recombination protein RAD54-like (EC 3.6.4.12) (RAD54 homolog) (hHR54) (hRAD54)	DNA repair and recombination protein RAD54-like (EC 3.6.4.12) (RAD54 homolog) (hHR54) (hRAD54)
