Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ACOT7	"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126"	ENSG00000097021	"Acyl-CoA thioesterase 7"	O00154	1	6264269-6393767	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 141.6"	"Cell type enhanced"	"Detected in many"		"granulocytes: 178.0;Late spermatids: 160.2;Proximal enterocytes: 177.8;Proximal tubular cells: 237.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"NK-cell: 40.3;plasmacytoid DC: 35.8"	"Group enriched"	"Detected in many"	5	"dendritic cells: 35.8;NK-cells: 40.3"	"Low cancer specificity"	"Detected in all"			"Colon - Colon enteroendocrine cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Pituitary gland - Lactotropes, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA025735, HPA025762"	Enhanced		Supported	Nucleoplasm,Cytosol			No	No		44000	"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 1: Neurons - Mixed function"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 22: Proximal enterocytes - Digestion"	12	Cytosol	Nucleoplasm	"HPA025735: AB_1844523, HPA025762: AB_1844524"	"unprognostic (7.15e-2)"	"unprognostic (3.96e-2)"	"unprognostic (1.71e-2)"	"unprognostic (4.31e-2)"	"unprognostic (2.07e-2)"	"unprognostic (1.27e-1)"	"unprognostic (5.05e-3)"	"unprognostic (7.41e-2)"	"unprognostic (6.46e-2)"	"unprognostic (3.29e-3)"	"unprognostic (1.27e-2)"	"unprognostic (1.25e-1)"	"unprognostic (1.08e-2)"	"validated prognostic unfavorable (8.35e-5)"	"validated prognostic unfavorable (3.56e-6)"	"potential prognostic unfavorable (1.17e-5)"	"unprognostic (5.52e-2)"	"unprognostic (4.90e-2)"	"unprognostic (4.28e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.63e-1)"	"unprognostic (5.89e-2)"	"unprognostic (5.07e-2)"	"unprognostic (1.31e-2)"	"unprognostic (1.23e-1)"	"unprognostic (3.49e-2)"	"unprognostic (5.67e-2)"	"unprognostic (1.28e-2)"	"unprognostic (2.27e-1)"	"unprognostic (7.50e-2)"	"unprognostic (8.48e-2)"
ACSBG2	"BGR, DKFZp434K1635, PRTD-NY3"	ENSG00000130377	"Acyl-CoA synthetase bubblegum family member 2"	Q5FVE4	19	6135247-6193094	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Fatty acid metabolism, Lipid metabolism, Spermatogenesis"	"Developmental protein, Ligase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	226	"testis: 125.5"	"Cell type enriched"	"Detected in some"	4	"Late spermatids: 1739.0"	"Cell type enriched"	"Detected in many"	4	"bergmann glia: 41.2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA043421, HPA051013"	Enhanced		Supported	Cytosol			NA	NA				"Cluster 10: Testis - Spermatid development"	"Cluster 25: Non-specific - Transcription"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 36: Late spermatids - Unknown function"		Cytosol		"HPA043421: AB_10794182, HPA051013: AB_2681311"																															
ACTL7B	Tact1	ENSG00000148156	"Actin like 7B"	Q9Y614	9	108854588-108855986	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1102	"testis: 115.5"	"Group enriched"	"Detected in some"	25	"Early spermatids: 1373.7;Late spermatids: 841.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	11	"lung cancer: 1.0"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA021803, HPA024664"	Enhanced						NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 11: Neuronal - Sensory perception"	"Cluster 21: Early spermatids - Spermatogenesis"	3			"HPA021803: AB_1844551, HPA024664: AB_1844552"																															
ACTRT3	ARPM1	ENSG00000184378	"Actin related protein T3"	Q9BYD9	3	169766921-169769561	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	17	"testis: 46.1"	"Cell type enriched"	"Detected in many"	4	"Early spermatids: 1152.8"	"Low cell type specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA035817, HPA035818"	Approved		Approved	Nucleoplasm,Centrosome,Cytosol,Acrosome			NA	NA				"Cluster 20: Testis - Spermatogenesis"	"Cluster 31: Non-specific - Transcription"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"	2	Nucleoplasm	"Centrosome, Cytosol, Acrosome"	"HPA035817: AB_10671938, HPA035818: AB_2674801"	"unprognostic (1.47e-2)"	"unprognostic (1.57e-1)"		"unprognostic (4.99e-2)"	"unprognostic (3.48e-1)"	"unprognostic (1.01e-1)"		"unprognostic (2.50e-1)"	"unprognostic (1.31e-1)"		"unprognostic (5.70e-3)"	"unprognostic (6.91e-3)"	"unprognostic (9.70e-2)"	"unprognostic (3.80e-1)"		"unprognostic (3.64e-3)"	"unprognostic (1.26e-1)"	"unprognostic (4.67e-2)"	"unprognostic (9.98e-3)"	"unprognostic (6.61e-2)"	"unprognostic (1.16e-2)"	"unprognostic (2.72e-2)"	"unprognostic (2.74e-2)"		"unprognostic (4.53e-3)"	"unprognostic (5.73e-2)"	"unprognostic (1.90e-2)"	"unprognostic (1.10e-1)"	"unprognostic (2.96e-1)"	"potential prognostic unfavorable (9.16e-4)"	"unprognostic (1.33e-2)"
ACY3	"ACY-3, HCBP1, MGC9740"	ENSG00000132744	"Aminoacylase 3"	Q96HD9	11	67642555-67650730	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Host-virus interaction"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"intestine: 75.4;kidney: 56.6;liver: 33.0;pancreas: 21.5"	"Group enriched"	"Detected in many"	6	"Proximal enterocytes: 256.8;Proximal tubular cells: 433.6"	"Cell type enriched"	"Detected in some"	18	"central nervous system macrophage: 53.5"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Clear Cell Carcinoma (TCGA): 40.8;Kidney Renal Papillary Cell Carcinoma (TCGA): 40.5"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"non-classical monocyte: 34.3"	"Group enriched"	"Detected in many"	5	"dendritic cells: 8.7;monocytes: 34.3"	"Cancer enhanced"	"Detected in many"		"lymphoma: 18.2"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Thyroid gland - T-cells"	"Low region specificity"	"Detected in all"							"HPA039219, HPA048187"	Enhanced						NA	NA		13000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	19			"HPA039219: AB_10671872, HPA048187: AB_2680306"	"unprognostic (1.90e-1)"	"unprognostic (3.12e-3)"	"unprognostic (1.76e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.80e-1)"	"unprognostic (1.93e-3)"	"unprognostic (3.11e-1)"	"unprognostic (3.47e-2)"	"unprognostic (1.17e-2)"		"potential prognostic favorable (5.08e-6)"	"unprognostic (2.13e-2)"	"potential prognostic favorable (4.91e-4)"	"unprognostic (2.40e-3)"	"unprognostic (2.38e-3)"	"unprognostic (2.86e-1)"	"unprognostic (2.15e-2)"	"unprognostic (2.30e-1)"		"unprognostic (4.50e-3)"	"potential prognostic favorable (1.45e-4)"	"unprognostic (6.73e-2)"	"unprognostic (2.69e-2)"	"unprognostic (3.42e-1)"	"unprognostic (2.22e-1)"	"unprognostic (6.28e-3)"		"unprognostic (1.29e-1)"	"unprognostic (7.09e-2)"		"unprognostic (1.14e-1)"
ADAL		ENSG00000168803	"Adenosine deaminase like"	Q6DHV7	15	43330672-43354569	"Predicted intracellular proteins"	"Nucleotide metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 81.6;Rod photoreceptor cells: 92.7;Spermatocytes: 105.1;Spermatogonia: 67.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039879, HPA048175, HPA058795"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Vesicles"			NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 23: Non-specific - Cellular respiration"	"Cluster 21: Non-specific - Metabolism"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"		Nucleoplasm	"Nuclear speckles, Vesicles"	"HPA039879: , HPA048175: AB_2680298, HPA058795: "	"unprognostic (2.74e-2)"	"unprognostic (1.72e-1)"	"unprognostic (8.60e-2)"	"unprognostic (3.65e-2)"	"unprognostic (9.59e-2)"	"unprognostic (1.96e-2)"	"unprognostic (4.93e-2)"	"unprognostic (7.09e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.70e-2)"	"potential prognostic favorable (1.22e-5)"	"unprognostic (4.39e-2)"	"unprognostic (3.15e-3)"	"unprognostic (1.23e-1)"	"unprognostic (8.28e-2)"	"unprognostic (7.86e-2)"	"unprognostic (1.35e-1)"	"unprognostic (4.62e-2)"	"unprognostic (3.72e-3)"	"unprognostic (1.99e-1)"	"unprognostic (1.94e-1)"	"unprognostic (1.16e-1)"	"unprognostic (3.74e-3)"	"unprognostic (3.99e-2)"	"unprognostic (2.24e-2)"	"unprognostic (4.57e-1)"	"unprognostic (5.65e-2)"	"unprognostic (3.96e-2)"	"unprognostic (1.18e-1)"	"unprognostic (5.10e-2)"	"unprognostic (2.52e-1)"
ADAR	"ADAR1, DRADA, G1P1, IFI4"	ENSG00000160710	"Adenosine deaminase RNA specific"	P55265	1	154581695-154628013	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Antiviral defense, Immunity, Innate immunity, mRNA processing, RNA-mediated gene silencing"	"DNA-binding, Hydrolase, RNA-binding"	"Aicardi-Goutieres syndrome, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003890, HPA051519, CAB056157"	Enhanced		Enhanced	Nucleoplasm,Nucleoli			No	No			"Cluster 7: Non-specific - Innate immune response"	"Cluster 16: Non-specific - Transcription"	"Cluster 1: Neurons - Mixed function"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 58: Macrophages - Innate immune response"	65	Nucleoli	Nucleoplasm	"CAB056157: AB_2665578, HPA003890: AB_1078103, HPA051519: AB_2681520"	"unprognostic (3.47e-2)"	"unprognostic (4.39e-2)"	"unprognostic (2.98e-3)"	"unprognostic (6.46e-3)"	"unprognostic (7.32e-2)"	"unprognostic (2.19e-1)"	"unprognostic (1.52e-1)"	"unprognostic (8.87e-2)"	"unprognostic (8.67e-2)"	"unprognostic (3.36e-2)"	"potential prognostic favorable (5.50e-7)"	"unprognostic (4.62e-2)"	"unprognostic (3.11e-2)"	"unprognostic (7.54e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.22e-2)"	"potential prognostic unfavorable (8.44e-4)"	"unprognostic (1.30e-1)"	"unprognostic (1.28e-1)"	"unprognostic (2.02e-1)"	"unprognostic (8.28e-2)"	"unprognostic (1.04e-2)"	"unprognostic (2.52e-1)"	"unprognostic (7.20e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.99e-1)"	"unprognostic (4.23e-1)"	"unprognostic (2.36e-1)"	"unprognostic (2.74e-1)"	"unprognostic (3.76e-2)"	"unprognostic (2.19e-1)"
ADCY10	"HCA2, RP1-313L4.2, SAC, SACI, Sacy"	ENSG00000143199	"Adenylate cyclase 10"	Q96PN6	1	167809386-167914215	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"cAMP biosynthesis"	Lyase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"liver: 5.9;testis: 17.1"	"Group enriched"	"Detected in some"	8	"Early spermatids: 90.7;Late spermatids: 87.0"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	6	"Liver Hepatocellular Carcinoma (TCGA): 3.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA015243, HPA017749"	Approved						NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 37: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 11: Late spermatids - Unknown function"				"HPA015243: AB_1856540, HPA017749: AB_1856541"			"unprognostic (3.90e-2)"											"unprognostic (2.23e-2)"	"unprognostic (2.71e-3)"																
ADGRE5	"CD97, TM7LN1"	ENSG00000123146	"Adhesion G protein-coupled receptor E5"	P48960	19	14380501-14408725	"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Cell adhesion"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 209.5"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 152.0;monocytes: 445.8;NK-cells: 300.7;T-cells: 188.2"	"Cell type enriched"	"Detected in many"	7	"leukocyte: 256.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA013707	Enhanced		Approved	"Golgi apparatus,Plasma membrane"	"Secreted to blood"	Receptor	NA	Yes	10000000	3800000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 11: White matter - Signal transduction"	"Cluster 23: Non-specific - Transcription"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	3	"Plasma membrane"	"Golgi apparatus"	"HPA013707: AB_1846345"	"unprognostic (2.90e-1)"	"unprognostic (5.56e-1)"		"unprognostic (9.50e-2)"	"unprognostic (2.00e-1)"	"unprognostic (6.93e-3)"	"unprognostic (8.66e-2)"	"potential prognostic unfavorable (1.02e-4)"	"unprognostic (3.26e-2)"	"unprognostic (6.14e-3)"	"unprognostic (1.08e-2)"	"unprognostic (9.06e-2)"	"unprognostic (8.73e-2)"	"potential prognostic unfavorable (3.63e-5)"		"unprognostic (2.30e-1)"	"unprognostic (3.54e-1)"	"potential prognostic unfavorable (7.31e-4)"	"unprognostic (3.01e-1)"	"unprognostic (1.19e-2)"	"unprognostic (5.29e-1)"	"unprognostic (8.35e-3)"	"unprognostic (6.34e-2)"	"unprognostic (2.40e-1)"	"unprognostic (7.05e-2)"	"potential prognostic favorable (2.47e-5)"	"unprognostic (1.14e-1)"	"unprognostic (5.49e-2)"	"unprognostic (5.05e-2)"	"unprognostic (4.08e-2)"	"unprognostic (6.02e-2)"
ADGRL4	"ELTD1, ETL"	ENSG00000162618	"Adhesion G protein-coupled receptor L4"	Q9HBW9	1	78889764-79282124	"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 70.8"	"Group enriched"	"Detected in many"	6	"Adipocytes: 559.4;Endothelial cells: 298.5"	"Cell type enriched"	"Detected in many"	5	"endothelial cell: 529.5"	"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 52.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Sarcoma: 12.2;thyroid cancer: 15.1"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Adrenal gland - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Minor Salivary Gland - Endothelial cells, Pancreas - Endothelial cells, Pituitary gland - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Spleen - Endothelial cells, Stomach - Endothelial cells, Thyroid gland - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA025229	Supported						NA	NA		4700000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"				"HPA025229: AB_10602493"	"unprognostic (1.22e-2)"	"unprognostic (7.61e-2)"		"unprognostic (1.99e-1)"	"unprognostic (5.15e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.74e-1)"	"unprognostic (2.33e-2)"	"unprognostic (1.11e-2)"	"unprognostic (1.12e-1)"	"potential prognostic favorable (1.37e-8)"	"unprognostic (1.26e-3)"	"potential prognostic unfavorable (5.10e-6)"	"unprognostic (1.29e-1)"		"unprognostic (3.06e-1)"	"unprognostic (4.12e-2)"	"unprognostic (1.17e-2)"	"unprognostic (5.80e-2)"	"unprognostic (9.91e-2)"	"unprognostic (1.52e-2)"	"unprognostic (5.20e-1)"	"unprognostic (9.51e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.04e-2)"	"unprognostic (5.62e-2)"	"unprognostic (4.02e-3)"	"unprognostic (3.87e-3)"	"unprognostic (1.28e-1)"	"unprognostic (1.80e-2)"	"unprognostic (3.27e-2)"
